Arquivo,Classe,Liver,Kidney,Altura,Comprimento,Hi,Hu,Homogeneidade,Entropia
ROI_1_0,saudavel,"(224, 184)","(242, 249)",28,28,1.082368705703815,"[0.0012924442987037685, 4.060677476856976e-11, 3.775314536173879e-13, 1.844265078441412e-13, 4.796613686148231e-26, -8.538048026524155e-19, 8.214368256375587e-27]","[0.5185359595741063, 0.03813538052898126, 0.3051348867847956, 0.03813537605703475]","[6.711466175573091, 7.864332575508405, 6.400599277933811, 7.863410217337815]"
ROI_1_1,saudavel,"(219, 180)","(235, 253)",28,28,1.0835365071217762,"[0.0012347838104930626, 1.786353270099368e-11, 8.364801571423993e-14, 9.190037242239177e-14, 8.002749867198416e-27, 1.5940439467061072e-19, -9.382545886011297e-28]","[0.5185373895792093, 0.018859567531217473, 0.2772516451637967, 0.01885956581068749]","[6.623891418259539, 7.797797985589748, 6.379785339450335, 7.795775645238748]"
ROI_1_2,saudavel,"(216, 183)","(240, 252)",28,28,1.1218909860645616,"[0.0012024228656301776, 4.915208555418272e-11, 3.724773571516748e-14, 1.4482407040222037e-14, -3.334425414793237e-28, 6.397506247778392e-20, -4.424502184833882e-29]","[0.5185386262823759, 0.04433018221791835, 0.3140914425262221, 0.04433016519184464]","[6.440846345829984, 7.64995054724552, 6.289488166822704, 7.64767927407743]"
ROI_1_3,saudavel,"(216, 181)","(235, 250)",28,28,1.071147935743481,"[0.0012359873754306775, 3.19836727232067e-11, 5.656040014992588e-13, 2.8861472790871216e-14, 1.875577229023253e-27, -4.6605338818503e-21, 3.174899665245962e-27]","[0.5185378680368421, 0.02492177488415969, 0.2860195852734632, 0.024921754490240446]","[6.91069687398926, 7.955111529684121, 6.4085357858703205, 7.954917140863716]"
ROI_1_4,saudavel,"(215, 180)","(225, 253)",28,28,1.0869335299019292,"[0.0012379168052865058, 1.5320915598203952e-10, 2.498220296666922e-13, 2.1930577805102104e-13, -4.295004885641336e-26, -1.7708222156558074e-18, -2.811219199123579e-26]","[0.5185375730760557, 0.027656015280286547, 0.2899748274183409, 0.027656016101299]","[6.789626268364726, 7.914731618403789, 6.427404387069382, 7.9130368880072846]"
ROI_1_5,saudavel,"(211, 180)","(233, 250)",28,28,1.0969493320973962,"[0.001247207647799352, 2.790040697945233e-11, 4.3525957269474286e-13, 2.016180995209355e-13, 5.254832234065061e-26, 6.907471126011835e-19, -2.838927986895882e-26]","[0.5185375267304467, 0.0356043013694119, 0.30147159522380995, 0.03560430904513097]","[6.7344539843430695, 7.838397789635082, 6.357921152925229, 7.8383777755333055]"
ROI_1_6,saudavel,"(218, 177)","(237, 251)",28,28,1.0863309352517985,"[0.0012774656249911992, 9.303100102981856e-11, 1.115623894881522e-13, 1.1337411647647346e-13, 1.2504584618086288e-26, 1.0919447043640011e-18, 2.492495067010319e-27]","[0.5185365601010713, 0.03670854602052643, 0.30307029525110696, 0.03670855878526536]","[6.750976086006875, 7.878927461869617, 6.4035948632598565, 7.880189031881336]"
ROI_1_7,saudavel,"(204, 170)","(231, 247)",28,28,1.0955030287068737,"[0.001232764125866509, 3.376332078689042e-10, 9.21057267645257e-13, 4.819518496627647e-13, 2.9963055189471922e-25, 7.974326462836827e-18, -1.1545896614957476e-25]","[0.5185378535464364, 0.031142776976457037, 0.2950177591792567, 0.03114280404259651]","[6.871680159403206, 7.939130569723764, 6.411531371196366, 7.938581854271982]"
ROI_1_8,saudavel,"(221, 179)","(225, 248)",28,28,1.0989441584418138,"[0.0012121188720263776, 5.163712778905097e-12, 1.941716317435675e-14, 4.793708953595358e-13, 4.518365530897757e-26, 4.816754828749428e-19, 9.868533857211772e-27]","[0.5185386238011699, 0.030729847181905433, 0.29441951680818673, 0.03072985955753466]","[6.659342115317929, 7.817395222145979, 6.384726262060796, 7.822174520547265]"
ROI_1_9,saudavel,"(201, 175)","(234, 249)",28,28,1.0586229401207374,"[0.0012638923339575985, 1.1603167786846954e-10, 1.2727148544706712e-13, 4.8480286408046644e-14, 3.808126902241184e-27, 5.428059358108165e-20, -1.1292266084945744e-29]","[0.5185368349514786, 0.03790037704455166, 0.3047937881992646, 0.03790037493773955]","[6.616004289678206, 7.762738353829923, 6.355975815640811, 7.764025879222761]"
ROI_2_0,saudavel,"(353, 160)","(309, 202)",28,28,0.7050203086921202,"[0.001812997277752671, 3.7444529256231085e-10, 1.7327086265169673e-15, 8.067724148360047e-13, 2.7964122155683084e-26, -3.586703826563938e-18, 1.1308246224948354e-26]","[0.5185286726187042, 0.04341359519767244, 0.31277998025636755, 0.04341359668986301]","[6.359091842100651, 7.645096101670069, 6.32317953585315, 7.64668910094737]"
ROI_2_1,saudavel,"(338, 155)","(323, 207)",28,28,0.8324274066657131,"[0.0017150949523710751, 2.8173353815498633e-11, 1.3075175574316896e-13, 4.666172519860678e-13, -4.56089428808435e-27, 2.1044055670192087e-18, 1.1516609733964e-25]","[0.5185293454100846, 0.03866362347251118, 0.3059084891326022, 0.03866362174445306]","[6.339704285506416, 7.608499771469089, 6.297424674759209, 7.60783979528144]"
ROI_2_2,saudavel,"(310, 153)","(303, 206)",28,28,1.022497591876051,"[0.0013535873334623869, 7.56141601714993e-10, 1.0864847242727527e-12, 4.783213038597033e-13, 3.1651777771080597e-25, -1.1019768405181877e-17, 1.3680919013455647e-25]","[0.5185348527323662, 0.019922799183883264, 0.2787931011485857, 0.019922804688175706]","[7.261286862980547, 8.14082005011038, 6.435340895005892, 8.137873873965802]"
ROI_2_3,saudavel,"(356, 161)","(301, 202)",28,28,0.6201396643389276,"[0.001971797670809762, 6.599789304943829e-10, 2.116198007341406e-13, 1.529411072928608e-14, -8.407332158332873e-28, 9.535019840824995e-21, 2.2411019214227865e-28]","[0.5185277751996215, 0.02720598774494586, 0.2893381119587546, 0.027205985877059195]","[6.353814580041529, 7.620016887190499, 6.302365597369671, 7.620427160007835]"
ROI_2_4,saudavel,"(304, 155)","(311, 207)",28,28,1.0396509465120727,"[0.001331512349578319, 6.117490058137493e-10, 3.4640717751516667e-13, 5.854548563192946e-14, -7.984706626968131e-29, -1.045168588269548e-18, 8.337073746965952e-27]","[0.5185362958393279, 0.033646843224853173, 0.29864271845910123, 0.033646691180918516]","[7.1619875410602445, 8.076950609979509, 6.427404387069383, 8.07042813055267]"
ROI_2_5,saudavel,"(301, 156)","(314, 205)",28,28,1.1093043114882175,"[0.0012764894348115717, 6.49175864368061e-11, 9.436454988420059e-13, 7.010718011032407e-14, 1.8001099817552726e-26, 2.105952615321344e-19, 1.0582284661329603e-27]","[0.5185376215521932, 0.02803307620014643, 0.2905207944725304, 0.028033036772371372]","[7.152703222330232, 8.081449987759584, 6.459150418815415, 8.080723890348086]"
ROI_2_6,saudavel,"(295, 157)","(304, 199)",28,28,1.1172785801287628,"[0.001259173407688846, 1.1941336363339532e-10, 8.951834694066686e-14, 1.758063597403383e-13, -2.1306514800729217e-26, -8.450909153567225e-19, -5.697133233300993e-27]","[0.5185365751284362, 0.011195514519215726, 0.26616733845635254, 0.011195516016224833]","[7.192108654060667, 8.118154104778068, 6.451213910878906, 8.11742800736657]"
ROI_2_7,saudavel,"(269, 148)","(306, 202)",28,28,1.1055120005501684,"[0.0012517856374831982, 1.9869467597676913e-11, 9.016241583477447e-14, 1.7057040367382197e-14, -1.4599368230855997e-28, 1.2465115750056056e-21, 6.527845459451821e-28]","[0.5185376695847698, 0.027338111574039488, 0.28951498872717185, 0.027338082629747552]","[7.078000731547732, 8.049517354468772, 6.435340895005889, 8.05150901234718]"
ROI_2_8,saudavel,"(325, 157)","(309, 199)",28,28,0.8789559998604277,"[0.0016676855410486082, 3.3686076776318526e-10, 1.2700433087064683e-13, 4.3989080083625503e-13, 8.669552761131653e-26, 3.68428018835925e-18, -5.739833997849327e-26]","[0.5185299957569071, 0.04861035566952464, 0.32029484824834653, 0.04861034866210397]","[6.517499582685966, 7.697338197101117, 6.318238613242688, 7.691930948832356]"
ROI_2_9,saudavel,"(329, 149)","(313, 206)",28,28,0.903648991290927,"[0.0016105445179129328, 1.3936807772565979e-09, 1.0364098451680496e-12, 1.9423367665447434e-13, 6.360775474252167e-26, 7.480052555394771e-19, -5.957060808498071e-26]","[0.5185305706806099, 0.018082678476364737, 0.2761378718894313, 0.01808268880837195]","[6.624625741206178, 7.766160597005059, 6.349984644988719, 7.7712266959374485]"
ROI_3_0,saudavel,"(325, 163)","(278, 190)",28,28,0.7971251189755126,"[0.0014741957896404006, 1.9865972021222966e-10, 7.120098098472529e-13, 7.437881768788309e-15, 2.8437783526687862e-28, -1.827159842262419e-20, -4.605501310193688e-28]","[0.5185324757749369, 0.039255954399473526, 0.30676085305399536, 0.03925598255162631]","[6.568720929475909, 7.746103978090131, 6.363912323577319, 7.753891113655239]"
ROI_3_1,saudavel,"(327, 161)","(277, 184)",28,28,0.8283492552180016,"[0.0014411817854834618, 8.343116272655913e-11, 1.277515733304168e-13, 7.754353066721593e-14, -2.3176242125232324e-27, -3.541500571097346e-19, 7.361741631113145e-27]","[0.5185326991426292, 0.034044489248227144, 0.2992224348940179, 0.03404448128340212]","[6.451436616998665, 7.675599717796105, 6.326175121179197, 7.674464993059904]"
ROI_3_2,saudavel,"(317, 162)","(286, 186)",28,28,0.7814212704946465,"[0.0015374228685299802, 3.628419892682916e-10, 5.784374326164484e-13, 4.572068624861674e-13, -8.644987092585743e-26, -6.652550251899062e-18, -2.1865452834348004e-25]","[0.5185313403635439, 0.04061454061964611, 0.3087274692821009, 0.04061455479649658]","[6.850160406901985, 7.891362993549425, 6.384726262060797, 7.89596964161018]"
ROI_3_3,saudavel,"(326, 164)","(289, 189)",28,28,0.8071523829578157,"[0.0015137159828947431, 6.923791761532961e-10, 1.8558271255644226e-13, 1.1765770041540962e-13, -9.817410606943358e-27, -9.170838989478019e-19, 1.43488993641613e-26]","[0.5185318499196987, 0.0374503212122303, 0.3041500919333892, 0.037450326021347874]","[6.696688529892538, 7.8125732387231785, 6.38173067673475, 7.8158657922747965]"
ROI_3_4,saudavel,"(324, 161)","(291, 191)",28,28,0.7878062731273419,"[0.0015336842663712246, 7.449636136837015e-11, 5.6199497706849334e-14, 8.401495762208209e-13, 1.6590270329335708e-25, -4.654653098054206e-18, 7.618239526258763e-26]","[0.5185313329460778, 0.02856464597699248, 0.29129817348160647, 0.028564641975933752]","[6.784609616439177, 7.864638828589496, 6.352980230314765, 7.8616787641721375]"
ROI_3_5,saudavel,"(303, 136)","(243, 152)",28,28,0.8958052137091439,"[0.0014180701504771642, 9.736636217024862e-11, 2.641487539002485e-13, 4.5328815701912835e-13, -1.5480019013025532e-25, 4.342069549922858e-18, -2.5277916295633905e-26]","[0.5185331245555407, 0.03625904164158564, 0.3024249639722307, 0.03625902697530609]","[6.643966295367843, 7.802301511595955, 6.3877218473868425, 7.799244770910974]"
ROI_3_6,saudavel,"(310, 135)","(253, 152)",28,28,0.8861619150080688,"[0.0014722880217973118, 2.577169355724429e-10, 1.8253460007316293e-12, 3.0456927846664454e-15, -1.9527825732571745e-28, 2.2665089604413428e-20, -1.1591874877415407e-28]","[0.5185324145888405, 0.028306471128975063, 0.2909231623492009, 0.028306471580305154]","[6.798438992987861, 7.892586570166834, 6.424408801743337, 7.887775827997194]"
ROI_3_7,saudavel,"(305, 137)","(262, 155)",28,28,0.8830112170203803,"[0.0014341557464720225, 2.2784644082551424e-10, 2.997663692633165e-13, 1.2766973957055133e-14, -4.88782798852863e-28, -1.714366163781994e-19, 6.203978281830047e-28]","[0.518532870843816, 0.029726285689133547, 0.29297619457907603, 0.02972627732034219]","[6.8521896241059155, 7.957041797957865, 6.451213910878906, 7.959062948780466]"
ROI_3_8,saudavel,"(300, 122)","(253, 154)",28,28,0.8590589906109459,"[0.0014900786490901169, 1.8851813765819575e-10, 7.102638520042055e-14, 1.1458831039672274e-12, -1.1769989417829113e-25, -1.374973644287566e-17, 3.049803387100411e-25]","[0.5185318830164125, 0.032942677342240254, 0.2976298822248323, 0.03294268017186773]","[6.801580572481358, 7.9121487544000795, 6.403594863259858, 7.911821139917874]"
ROI_3_9,saudavel,"(288, 119)","(249, 151)",28,28,0.8175238397126027,"[0.0015755689512441467, 1.8487075254489628e-10, 1.768093866406857e-15, 2.7909155769915083e-13, -4.142337471556849e-27, 2.374440695511018e-19, 4.612773601574068e-27]","[0.5185309264816654, 0.05948781716806544, 0.33602694220650053, 0.05948781716806546]","[6.351976078382641, 7.624915899276846, 6.302365597369672, 7.62248232916508]"
ROI_4_0,saudavel,"(312, 136)","(281, 169)",28,28,1.0727903983717937,"[0.001207319719533144, 2.336120390967283e-10, 7.03841377847531e-13, 1.8383620441448302e-13, -3.9635899928228115e-26, 2.785597466375928e-18, 5.293277960191314e-26]","[0.5185397781092818, 0.024014701630623973, 0.2847048113687005, 0.02401470714760351]","[7.260482165067949, 8.128128191370623, 6.411531371196365, 8.127398329949994]"
ROI_4_1,saudavel,"(321, 146)","(290, 182)",28,28,1.0287626894218038,"[0.0012481958506920143, 1.8843408651348005e-11, 1.6072084131018669e-13, 2.6212955413119586e-13, -3.603743888763468e-26, 7.961905341987012e-19, 3.99513912167124e-26]","[0.5185372035932232, 0.03415585903705996, 0.29937693914615704, 0.03415585903705997]","[6.965406012291763, 7.970382701079333, 6.411531371196366, 7.974811967180375]"
ROI_4_2,saudavel,"(334, 153)","(313, 201)",28,28,1.0772357090580669,"[0.0013036117579679866, 1.4169361696892695e-10, 3.3772121184151475e-13, 2.723921167967073e-13, -5.949565162175631e-26, 4.2183010815224263e-19, 5.732263837917998e-26]","[0.5185358217572148, 0.021179570299344003, 0.2806096885899857, 0.021179559719271976]","[7.056841799445189, 8.055084670208215, 6.443277402942397, 8.055364364383369]"
ROI_4_3,saudavel,"(301, 128)","(289, 181)",28,28,1.0333649427383471,"[0.0012740848006326877, 2.7768880390275784e-10, 8.902560183067521e-14, 1.213908620843844e-13, -3.1979137776575386e-27, 1.525168842868984e-18, -1.2207413768959804e-26]","[0.5185365087636236, 0.029766177565206876, 0.29302864560811903, 0.029766185379525946]","[6.952825063673858, 7.994861469366823, 6.443277402942397, 7.998493769609282]"
ROI_4_4,saudavel,"(301, 123)","(282, 178)",28,28,1.0288330670453871,"[0.0012695684060320981, 2.4897392271918627e-11, 1.2179748147129069e-13, 1.3651302008404413e-13, -1.0859135566447013e-26, 4.445052319419827e-19, 1.3854083097346607e-26]","[0.5185366823546462, 0.031497115447927486, 0.29553198379270634, 0.03149712104149647]","[7.094572302278018, 8.05308186786299, 6.419467879132876, 8.054311846545774]"
ROI_4_5,saudavel,"(295, 121)","(270, 169)",28,28,1.002068904801033,"[0.0013246220963091023, 2.6154689047215794e-10, 4.859609087718867e-13, 7.854655037037216e-13, 4.27418279951852e-25, -6.486514392673485e-19, 2.298024213843622e-25]","[0.518535061910502, 0.028285023294633952, 0.290888297299364, 0.028285032424538555]","[7.28167977045988, 8.16649183100812, 6.459150418815416, 8.165150670474942]"
ROI_4_6,saudavel,"(290, 119)","(278, 167)",28,28,1.0210219196528765,"[0.0013301506581286742, 1.6317663708452256e-09, 3.010534036758152e-13, 4.453750544992111e-14, 1.1236319790771813e-27, 5.887095181260129e-19, -5.033264368464901e-27]","[0.5185363230094654, 0.023631095024525192, 0.28415519134651085, 0.02363110009817068]","[7.357130094952218, 8.208804108946937, 6.4750234346884294, 8.20789310155746]"
ROI_4_7,saudavel,"(285, 116)","(278, 170)",28,28,1.0025501882987873,"[0.0012738357357594426, 1.2016364672807432e-10, 4.897725433759761e-13, 3.359741928482881e-13, 1.2767158927954787e-25, -1.3293793420927489e-18, -4.7689139668267024e-26]","[0.5185361549585569, 0.032627506583844466, 0.2971677973568991, 0.032627497516597805]","[7.008406674240928, 8.03066729152539, 6.443277402942397, 8.029834891443262]"
ROI_4_8,saudavel,"(293, 116)","(272, 170)",28,28,1.0139362912400456,"[0.0012587909405622733, 1.0115317297861694e-09, 1.4038981654786714e-12, 9.212391276304876e-13, 9.903725224477676e-25, -2.841709695672112e-17, -3.41736870665538e-25]","[0.5185366827337261, 0.0192528499754311, 0.27782134901615196, 0.019252844507586565]","[7.515733667231793, 8.27159483255574, 6.47502343468843, 8.275594171959137]"
ROI_4_9,saudavel,"(286, 115)","(266, 173)",28,28,1.0119685179157913,"[0.0012557358299513251, 2.2207867934303693e-10, 2.0026476360069945e-14, 1.4865958967553213e-15, -7.743511140434469e-30, -2.1434777105823023e-20, 2.4148678949583032e-30]","[0.5185364299725116, 0.03404093067738145, 0.2992117139066708, 0.03404092647373018]","[6.871114398242057, 7.9289762598038775, 6.419467879132873, 7.932202000463895]"
ROI_5_0,saudavel,"(300, 142)","(263, 193)",28,28,0.9218443192730504,"[0.0014066279287315918, 3.827666582352873e-10, 5.557966135843399e-15, 1.1479215075413395e-13, 2.31005742953338e-27, -7.300180944623511e-19, -1.752385771182002e-27]","[0.5185334366127067, 0.031484275887518426, 0.29551820586066463, 0.03148425303854989]","[7.059242539761241, 8.045248026178701, 6.43534089500589, 8.0370357744206]"
ROI_5_1,saudavel,"(317, 159)","(276, 198)",28,28,0.9073986804901035,"[0.0013947085242771856, 8.652172980190421e-11, 5.848419693454734e-13, 9.952556209223496e-13, 2.548141962576149e-25, -3.014201719292594e-18, 7.152810560347145e-25]","[0.5185333498758756, 0.037618836380718515, 0.3043914261610805, 0.03761884784017905]","[6.8488489554495, 7.962614219323128, 6.451213910878907, 7.960727959786719]"
ROI_5_2,saudavel,"(318, 157)","(278, 197)",28,28,0.8872903433539209,"[0.0014075366575429307, 2.839467040465734e-10, 1.6039922758221065e-13, 2.408317763580587e-13, 4.278038822478388e-26, 1.1684896753131877e-18, 2.0256644145941086e-26]","[0.5185330747273504, 0.029572536293816683, 0.29275353245384494, 0.029572536730628346]","[6.604690522287554, 7.790870399543987, 6.376789754124289, 7.795082407570056]"
ROI_5_3,saudavel,"(319, 154)","(271, 197)",28,28,0.902708533776495,"[0.0014170754148822664, 1.3531542156018715e-10, 2.632448378415686e-13, 5.171250425978765e-13, 3.5600160414452597e-26, -2.9322805940516407e-18, 1.8744710252519926e-25]","[0.5185332160038074, 0.03791344830321086, 0.3048178604151952, 0.03791346216952418]","[6.6663322540918335, 7.792375266424976, 6.360916738251272, 7.797923476918988]"
ROI_5_4,saudavel,"(315, 149)","(287, 208)",28,28,1.0410610406235317,"[0.0012859314014714751, 9.707842651302693e-10, 1.8678941049934135e-12, 1.134332145349994e-13, 5.221324725502228e-26, -1.1039538980137345e-18, 2.6941313780468275e-28]","[0.5185364468267958, 0.02109029293447193, 0.28047986496053395, 0.0210902471446037]","[7.081200285586912, 8.037654601551418, 6.435340895005892, 8.031774786120014]"
ROI_5_5,saudavel,"(310, 148)","(273, 203)",28,28,1.0148552955665024,"[0.0012691148537890113, 1.1602092706483967e-10, 1.0427276692543166e-12, 1.5046161314445152e-13, 5.683581479794826e-26, 2.2568190848203966e-19, -1.793004078520723e-26]","[0.5185369254818984, 0.022038490288603243, 0.28185054692779093, 0.022038436942675068]","[7.130155781298775, 8.071298519207314, 6.42740438706938, 8.070435432124883]"
ROI_5_6,saudavel,"(305, 149)","(275, 199)",28,28,0.9734248192415522,"[0.0013045556091566197, 7.449477604417335e-10, 3.7820254542395375e-13, 4.610079892372821e-13, 7.772318709207031e-26, -2.008161501861403e-18, -1.7610894606741771e-25]","[0.5185356495696704, 0.02626434557533118, 0.28796476746737354, 0.026264325660625802]","[7.111837744601015, 8.068128659632952, 6.443277402942399, 8.059926325824213]"
ROI_5_7,saudavel,"(294, 145)","(249, 197)",28,28,0.9784951024042744,"[0.001338865245316271, 4.253337668404104e-10, 8.658479990484085e-13, 1.2473612880873996e-12, 1.1216324871552301e-24, -6.958562622282563e-18, -6.498945203962775e-25]","[0.5185353022235629, 0.02623538572109565, 0.2879234515339186, 0.02623538500539263]","[7.287997583517925, 8.15626618289174, 6.451213910878906, 8.157999885074867]"
ROI_5_8,saudavel,"(313, 158)","(261, 203)",28,28,0.9276038395980981,"[0.00140411455294785, 2.3234485579751134e-10, 2.361144605738433e-13, 3.1553774313860397e-13, -8.319644970599127e-26, -2.1746573599930586e-19, -2.2274982748403085e-26]","[0.518533502473015, 0.025646160042924693, 0.28707373538497727, 0.02564613980551618]","[6.815269137397162, 7.912911269249227, 6.4085357858703205, 7.906736205745491]"
ROI_5_9,saudavel,"(315, 154)","(267, 197)",28,28,0.900099856089753,"[0.001404081615042799, 3.4126265197611317e-10, 9.068833852018795e-13, 9.032350860387955e-16, -8.070807408091464e-30, 1.1840847449898425e-20, -2.4558806117101418e-29]","[0.5185333478598371, 0.032297141207313265, 0.2966941593238273, 0.03229714455964826]","[6.691960109737419, 7.844731346949652, 6.403594863259858, 7.8415950157432155]"
ROI_6_0,saudavel,"(282, 192)","(273, 241)",28,28,1.1889797675419715,"[0.0013342224410213814, 1.6248736950315225e-10, 1.7697307585413407e-13, 3.3433822367933764e-13, -7.207945557982696e-26, 1.88615631622875e-18, 3.766389315913527e-26]","[0.5185351804221969, 0.027944440874597007, 0.29039566737533823, 0.02794444975040605]","[6.846482126664766, 7.90781982955856, 6.379785339450333, 7.911576859834498]"
ROI_6_1,saudavel,"(279, 180)","(284, 242)",28,28,1.2384413036693567,"[0.001279782829166651, 9.806261553850964e-11, 5.329026014622484e-13, 4.781403530161997e-13, -1.0276713075932923e-25, 2.1751561612195992e-18, 2.1838348179750965e-25]","[0.5185369295833968, 0.031222121495454953, 0.29513398403918933, 0.031222140469322136]","[6.701947050201791, 7.835497222751937, 6.37678975412429, 7.836760458388053]"
ROI_6_2,saudavel,"(282, 182)","(272, 241)",28,28,1.1861422166388704,"[0.0013004493982947363, 6.257516226235585e-11, 5.816471662069334e-13, 3.254394477981884e-13, 9.690535904231999e-26, 2.0837070709725746e-18, -1.0323425769646236e-25]","[0.51853615326883, 0.03496822231496217, 0.30055346940871014, 0.034968247906077894]","[6.673274357942913, 7.835207689512895, 6.4005992779338134, 7.835539068004235]"
ROI_6_3,saudavel,"(297, 184)","(285, 239)",28,28,1.181453302458926,"[0.0013129760145047242, 3.9650746236803176e-11, 6.643951390367943e-14, 7.250303960806728e-13, 4.897052866976705e-26, 2.183609113893417e-18, -1.514058035215485e-25]","[0.5185352431675259, 0.04294163622269138, 0.31208767470265136, 0.04294163997256701]","[6.866425643659423, 7.910074725205191, 6.379785339450335, 7.909124440697561]"
ROI_6_4,saudavel,"(277, 175)","(259, 233)",28,28,1.1301803792805878,"[0.0013529914871033804, 9.248534470266878e-11, 5.178790874109707e-13, 2.8734966288898233e-13, 1.8944670193045785e-27, 2.1370334972903203e-19, 1.1083241325022271e-25]","[0.5185345944435967, 0.022869229171105655, 0.2830555157366, 0.022869256871793395]","[6.803562965791471, 7.877015394512672, 6.36885324618778, 7.878990496966908]"
ROI_6_5,saudavel,"(286, 185)","(264, 234)",28,28,1.2122974197970329,"[0.0013142802780286224, 2.083787254932721e-10, 5.749822256760669e-13, 1.7440377447176844e-13, 5.210786148920058e-26, 9.122032865070105e-19, -1.8301005996427532e-26]","[0.5185361490783944, 0.028768892468160705, 0.29158677882155215, 0.028768909433644727]","[6.938926222601865, 7.960418240889785, 6.400599277933813, 7.960542970923265]"
ROI_6_6,saudavel,"(285, 179)","(267, 240)",28,28,1.2016113099027506,"[0.0012842086695150545, 3.988924504258163e-10, 9.197533168408975e-13, 6.992121223866164e-13, 3.075265626129941e-25, 1.6602516288233672e-18, 4.688696615295538e-25]","[0.5185366540464659, 0.021123870293242558, 0.2805278858697639, 0.021123846465214452]","[6.849423467412552, 7.93323571838759, 6.435340895005889, 7.939669128450541]"
